==================================================
Request             Date                Time      
==================================================
Full                28/02/2023          15:41     
Minor               28/02/2023          15:41     
Major               28/02/2023          15:41     
Full                28/02/2023          19:02     
Minor               28/02/2023          19:52     
Statistics          28/02/2023          19:53     
Full                28/02/2023          19:53     
Major               28/02/2023          19:53     
Minor               28/02/2023          19:54     
Minor               28/02/2023          19:54     
Major               28/02/2023          21:57     
Major               28/02/2023          22:29     
Minor               28/02/2023          22:29     
Full                28/02/2023          22:30     
